"name","labels"
"PCTPT","""Planned Time Point Name"""
"PCTPTNUM","""Planned Time Point Number"""
"PCTPTREF","""Time Point Reference"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"PRCAT","""Category"""
"PRSEQ","""Sequence Number"""
"PRSPID","""Sponsor-Defined Identifier"""
"PRSTDTC","""Start Date/Time of Procedure"""
"PRSTDY","""Study Day of Start of Procedure"""
"PRSTRTPT","""Start Relative to Reference Time Point"""
"PRSTTPT","""Start Reference Time Point"""
"PRTRT","""Reported Name of Procedure"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"RPBLFL","""Baseline Flag"""
"RPCAT","""Category for Repro System Findings"""
"RPDRVFL","""Derived Flag"""
"RPDTC","""Date/Time of Measurements"""
"RPDY","""Study Day of Repro System Findings"""
"RPGRPID","""Group ID"""
"RPORRES","""Result or Finding in Original Units"""
"RPORRESU","""Original Units"""
"RPREASND","""Reason Not Performed"""
"RPREFID","""Reference ID"""
"RPSCAT","""Subcategory for Repro System Findings"""
"RPSEQ","""Sequence Number"""
"RPSPID","""Sponsor-Defined Identifier"""
"RPSTAT","""Completion Status"""
"RPSTRESC","""Character Result/Finding in Std. Format"""
"RPSTRESN","""Numeric Result/Finding in Standard Units"""
"RPSTRESU","""Standard Units"""
"RPTEST","""Reproductive System Findings Test Name"""
"RPTESTCD","""Repro System Findings Test Short Name"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"RSCAT","""Category for Response Assessment"""
"RSDTC","""Date/Time of Response Assessment"""
"RSDY","""Study Day of Response Assessment"""
"RSEVAL","""Evaluator"""
"RSGRPID","""Group ID"""
"RSMETHOD","""Method used to Identify the Tumor"""
"RSORRES","""Response Assessment Original Result"""
"RSORRESU","""Original Units"""
"RSREASND","""Reason Response Assessment Not Performed"""
"RSSCAT","""Subcategory"""
"RSSEQ","""Sequence Number"""
"RSSPID","""Sponsor-Defined Identifier"""
"RSSTAT","""Completion Status"""
"RSSTRESC","""Response Assessment Result in Std Format"""
"RSSTRESN","""Numeric Finding in Standard Units"""
"RSSTRESU","""Standard Units"""
"RSTEST","""Response Assessment Name"""
"RSTESTCD","""Response Assessment Short Name"""
"RSTSTDTL","""Measurement, Test or Examination Detail"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"SCCAT","""Category for Subject Characteristic"""
"SCDTC","""Date/Time of Collection"""
"SCDY","""Study Day of Examination"""
"SCEVLINT","""Evaluation Interval"""
"SCGRPID","""Group ID"""
"SCORRES","""Result or Finding in Original Units"""
"SCORRESU","""Original Units"""
"SCREASND","""Reason Not Performed"""
"SCSCAT","""Subcategory for Subject Characteristic"""
"SCSEQ","""Sequence Number"""
"SCSPID","""Sponsor-Defined Identifier"""
"SCSTAT","""Completion Status"""
"SCSTRESC","""Character Result/Finding in Std Format"""
"SCSTRESN","""Numeric Result/Finding in Standard Units"""
"SCSTRESU","""Standard Units"""
"SCTEST","""Subject Characteristic"""
"SCTESTCD","""Subject Characteristic Short Name"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"SUCAT","""Category for Substance Use"""
"SUCLAS","""Substance Use Class"""
"SUCLASCD","""Substance Use Class Code"""
"SUDECOD","""Standardized Substance Name"""
"SUDOSE","""Substance Use Consumption"""
"SUDOSFRM","""Dose Form"""
"SUDOSFRQ","""Use Frequency Per Interval"""
"SUDOSTOT","""Total Daily Consumption"""
"SUDOSTXT","""Substance Use Consumption Text"""
"SUDOSU","""Consumption Units"""
"SUDTC","""Date/Time of Collection"""
"SUDUR","""Duration of Substance Use"""
"SUDY","""Study Day of Visit/Collection/Exam"""
"SUENDTC","""End Date/Time of Substance Use"""
"SUENDY","""Study Day of End of Substance Use"""
"SUENRF","""End Relative to Reference Period"""
"SUENRTPT","""End Relative to Reference Time Point"""
"SUENTPT","""End Reference Time Point"""
"SUGRPID","""Group ID"""
"SUMODIFY","""Modified Substance Name"""
"SUOCCUR","""SU Occurrence"""
"SUPRESP","""SU Pre-Specified"""
"SUREASND","""Reason Substance Use Not Collected"""
"SUROUTE","""Route of Administration"""
"SUSCAT","""Subcategory for Substance Use"""
"SUSEQ","""Sequence Number"""
"SUSPID","""Sponsor-Defined Identifier"""
"SUSTAT","""Completion Status"""
"SUSTDTC","""Start Date/Time of Substance Use"""
"SUSTDY","""Study Day of Start of Substance Use"""
"SUSTRF","""Start Relative to Reference Period"""
"SUSTRTPT","""Start Relative to Reference Time Point"""
"SUSTTPT","""Start Reference Time Point"""
"SUTRT","""Reported Name of Substance"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"SVENDTC","""End Date/Time of Visit"""
"SVENDY","""Study Day of End of Visit"""
"SVSTDTC","""Start Date/Time of Visit"""
"SVSTDY","""Study Day of Start of Visit"""
"SVUPDES","""Description of Unplanned Visit"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"TSGRPID","""Group ID"""
"TSPARM","""Trial Summary Parameter"""
"TSPARMCD","""Trial Summary Parameter Short Name"""
"TSSEQ","""Sequence Number"""
"TSVAL","""Parameter Value"""
"TSVALCD","""Parameter Value Code"""
"TSVALNF","""Parameter Null Flavor"""
"TSVCDREF","""Name of the Reference Terminology"""
"TSVCDVER","""Version of the Reference Terminology"""
"ARM","""Description of Planned Arm"""
"ARMCD","""Planned Arm Code"""
"DOMAIN","""Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"TVENRL","""Visit End Rule"""
"TVSTRL","""Visit Start Rule"""
"VISIT","""Visit Name"""
"VISITCD","""Visit Code"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"VSBLFL","""Baseline Flag"""
"VSCAT","""Category for Vital Signs"""
"VSDTC","""Date/Time of Measurements"""
"VSDY","""Study Day of Vital Signs"""
"VSELTM","""Planned Elapsed Time from Time Point Ref"""
"VSLOC","""Location of Vital Signs Measurement"""
"VSMETHOD","""Method of Test or Examination"""
"VSORRES","""Result or Finding in Original Units"""
"VSORRESU","""Original Units"""
"VSPOS","""Vital Signs Position of Subject"""
"VSREASND","""Reason Not Performed"""
"VSRFTDTC","""Date/Time of Reference Time Point"""
"VSSCAT","""Subcategory for Vital Signs"""
"VSSEQ","""Sequence Number"""
"VSSPID","""Sponsor-Defined Identifier"""
"VSSTAT","""Completion Status"""
"VSSTRESC","""Character Result/Finding in Std Format"""
"VSSTRESN","""Numeric Result/Finding in Standard Units"""
"VSSTRESU","""Standard Units"""
"VSTEST","""Vital Signs Test Name"""
"VSTESTCD","""Vital Signs Test Short Name"""
"VSTPT","""Planned Time Point Name"""
"VSTPTNUM","""Planned Time Point Number"""
"VSTPTREF","""Time Point Reference"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"YICAT","""Category"""
"YICNTRY","""Center Country"""
"YICRTN","""Clinical Research Task Number"""
"YICSTATE","""Center State"""
"YICTCITY","""Center City"""
"YICTCNAM","""Center Name"""
"YICTCNM1","""Center Name 1"""
"YICTCNM2","""Center Name 2"""
"YICTCNM3","""Center Name 3"""
"YICTCNUM","""Center Number"""
"YICTINAM","""Center Investigator Name"""
"YICTINUM","""Center Investigator Number"""
"YICTZIP","""Center Postal Zip Code"""
"YIENDTC","""End Date/Time of Inv Assignment"""
"YIENDY","""Study Day of End of Inv Assignment"""
"YIGRPID","""Group ID"""
"YIIADDR1","""Investigator Address Line 1"""
"YIIADDR2","""Investigator Address Line 2"""
"YIIADDR3","""Investigator Address Line 3"""
"YIICITY","""Investigator City"""
"YIICNTRY","""Investigator Country"""
"YIIEMAIL","""Investigator Email ID"""
"YIIFAX","""Investigator Fax Number"""
"YIIMNAM","""Investigator Middle Name"""
"YIINUM","""Investigator Contact Number"""
"YIINUMTP","""Investigator Contact Type"""
"YIINVID","""Investigator Identifier"""
"YIINVZIP","""Investigator Postal Zip Code"""
"YIISTATE","""Investigator State"""
"YISCAT","""Subcategory"""
"YISEQ","""Sequence Number"""
"YISITEID","""Site Identifier"""
"YISPID","""Sponsor-Defined Identifier"""
"YISTDTC","""Start Date/Time of Inv Assignment"""
"YISTDY","""Study Day of Start of Inv Assignment"""
"YITERM","""Reported Term for Event"""
"AEACN","""Action Taken with Study Treatment"""
"AEACNOT1","""Other Action Taken 1"""
"AEACNOT2","""Other Action Taken 2"""
"AEACNOTH","""Other Action Taken"""
"AEASOD","""Accidental Overdose?"""
"AEBDSYCD","""Body System or Organ Class Code"""
"AEBODSYS","""Body System or Organ Class"""
"AECAT","""Category for Adverse Event"""
"AECONCST","""Corticosteroid Medications Given for AE"""
"AECONTRT","""Concomitant or Additional Trtmnt Given"""
"AEDECOD","""Dictionary-Derived Term"""
"AEDLEYN","""Dose Limiting Adverse Event?"""
"AEDTHDTC","""Death Date"""
"AEENDTC","""End Date/Time of Adverse Event"""
"AEENDY","""Study Day of End of Adverse Event"""
"AEENRTPT","""End Relative to Reference Time Point"""
"AEENTPT","""End Reference Time Point"""
"AEEXP","""Expedited Adverse Event"""
"AEGRPID","""Group ID"""
"AEHLGT","""High Level Group Term"""
"AEHLGTCD","""High Level Group Term Code"""
"AEHLT","""High Level Term"""
"AEHLTCD","""High Level Term Code"""
"AEITOXGR","""Initial Toxicity Grade"""
"AELLT","""Lowest Level Term"""
"AELLTCD","""Lowest Level Term Code"""
"AEMEDERR","""Medication Error?"""
"AEMODIFY","""Modified Reported Term"""
"AEOCCRF","""Event Occurrence Reference Time Point"""
"AEOUT","""Outcome of Adverse Event"""
"AEPATT","""Pattern of Adverse Event"""
"AEPTCD","""Preferred Term Code"""
"AEREFID","""Reference ID"""
"AEREL","""Causality"""
"AERELNS1","""Relationship to Non-Study Treatment 1"""
"AERELNS2","""Relationship to Non-Study Treatment 2"""
"AERELNS3","""Relationship to Non-Study Treatment 3"""
"AERELNS4","""Relationship to Non-Study Treatment 4"""
"AERELNS5","""Relationship to Non-Study Treatment 5"""
"AERELNS6","""Relationship to Non-Study Treatment 6"""
"AERELNST","""Relationship to Non-Study Treatment"""
"AESCAT","""Subcategory for Adverse Event"""
"AESDTH","""Results in Death"""
"AESEQ","""Sequence Number"""
"AESER","""Serious Event"""
"AESOC","""Primary System Organ Class"""
"AESOCCD","""Primary System Organ Class Code"""
"AESPID","""Sponsor-Defined Identifier"""
"AESTDTC","""Start Date/Time of Adverse Event"""
"AESTDY","""Study Day of Start of Adverse Event"""
"AESTRTPT","""Start Relative to Reference Time Point"""
"AESTTPT","""Start Reference Time Point"""
"AETERM","""Reported Term for the Adverse Event"""
"AETOXGR","""Standard Toxicity Grade"""
"AETRTEM","""Treatment Emergent Flag"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"BECAT","""Category for Biospecimen Event"""
"BEDECOD","""Dictionary-Derived Term"""
"BEDTC","""Date/Time of Specimen Collection"""
"BEDY","""Study Day of Visit/Collection/Exam"""
"BEENDTC","""End Date/Time of Biospecimen Event"""
"BEENDY","""Study Day of End of Biospecimen Event"""
"BEOCCUR","""Occurrence"""
"BEPRESP","""Pre-specified"""
"BEREFID","""Reference ID"""
"BESCAT","""Subcategory for Biospecimen Event"""
"BESEQ","""Sequence Number"""
"BESPID","""Sponsor-Defined Identifier"""
"BESPPURP","""Specimen Intended Purpose"""
"BESTDTC","""Start Date/Time of Biospecimen Event"""
"BESTDY","""Study Day of Start of Biospecimen Event"""
"BETERM","""Reported Term for the Biospecimen Event"""
"BETPT","""Planned Time Point Name"""
"BETPTNUM","""Planned Time Point Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"BSBLFL","""Baseline Flag"""
"BSCAT","""Category for Biospecimen Test"""
"BSDTC","""Date/Time of Specimen Collection"""
"BSDY","""Study Day of Specimen Collection"""
"BSELTM","""Planned Elapsed Time from Time Point Ref"""
"BSORRES","""Result or Finding in Original Units"""
"BSORRESU","""Original Units"""
"BSREFID","""Reference ID"""
"BSRFTDTC","""Date/Time of Reference Time Point"""
"BSSEQ","""Sequence Number"""
"BSSPEC","""Specimen Type"""
"BSSPID","""Sponsor-Defined Identifier"""
"BSSTRESC","""Character Result/Finding in Std Format"""
"BSSTRESN","""Numeric Result/Finding in Standard Units"""
"BSSTRESU","""Standard Units"""
"BSTEST","""Biospecimen Test Name"""
"BSTESTCD","""Biospecimen Test Short Name"""
"BSTPT","""Planned Time Point Name"""
"BSTPTNUM","""Planned Time Point Number"""
"BSTPTREF","""Time Point Reference"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"CEBDSYCD","""Body System or Organ Class Code"""
"CEBODSYS","""Body System or Organ Class"""
"CECAT","""Category for Clinical Event"""
"CEDECOD","""Dictionary-Derived Term"""
"CEDTC","""Date/Time of Event Collection"""
"CEDY","""Study Day of Event Collection"""
"CEENDTC","""End Date/Time of Clinical Event"""
"CEENDY","""Study Day of End of Observation"""
"CEEVDTYP","""Event Date Type"""
"CEGRPID","""Group ID"""
"CEHLGT","""High Level Group Term"""
"CEHLGTCD","""High Level Group Term Code"""
"CEHLT","""High Level Term"""
"CEHLTCD","""High Level Term Code"""
"CEITOXGR","""Initial Toxicity Grade"""
"CELLT","""Lowest Level Term"""
"CELLTCD","""Lowest Level Term Code"""
"CEMODIFY","""Modified Reported Term"""
"CEOCCUR","""Clinical Event Occurrence"""
"CEPRESP","""Clinical Event Pre-Specified"""
"CEPTCD","""Preferred Term Code"""
"CEREFID","""Reference ID"""
"CESEQ","""Sequence Number"""
"CESER","""Serious Event"""
"CESOC","""Primary System Organ Class"""
"CESOCCD","""Primary System Organ Class Code"""
"CESPID","""Sponsor-Defined Identifier"""
"CESTDTC","""Start Date/Time of Clinical Event"""
"CESTDY","""Study Day of Start of Observation"""
"CETERM","""Reported Term for the Clinical Event"""
"CETOXGR","""Toxicity Grade"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"CMCAT","""Category for Medication"""
"CMDECOD","""Standardized Medication Name"""
"CMDECOD1","""Standardized Medication Name 1"""
"CMDECOD2","""Standardized Medication Name 2"""
"CMDECOD3","""Standardized Medication Name 3"""
"CMDECOD4","""Standardized Medication Name 4"""
"CMDECOD5","""Standardized Medication Name 5"""
"CMDECOD6","""Standardized Medication Name 6"""
"CMDECOD7","""Standardized Medication Name 7"""
"CMDOSE","""Dose per Administration"""
"CMDOSFRM","""Dose Form"""
"CMDOSFRQ","""Dosing Frequency per Interval"""
"CMDOSTXT","""Dose Description"""
"CMDOSU","""Dose Units"""
"CMDRG","""Synonym Medication Name"""
"CMDRG1","""Synonym Medication Name 1"""
"CMDRG2","""Synonym Medication Name 2"""
"CMDRG3","""Synonym Medication Name 3"""
"CMDRG4","""Synonym Medication Name 4"""
"CMDRG5","""Synonym Medication Name 5"""
"CMDRG6","""Synonym Medication Name 6"""
"CMDRG7","""Synonym Medication Name 7"""
"CMDRGCD","""Synonym Medication Name Code"""
"CMENDTC","""End Date/Time of Medication"""
"CMENDY","""Study Day of End of Medication"""
"CMENRTPT","""End Relative to Reference Time Point"""
"CMENTPT","""End Reference Time Point"""
"CMGRPID","""Group ID"""
"CMINDC","""Indication"""
"CMMODIF1","""Modified Reported Name 1"""
"CMMODIF2","""Modified Reported Name 2"""
"CMMODIF3","""Modified Reported Name 3"""
"CMMODIF4","""Modified Reported Name 4"""
"CMMODIF5","""Modified Reported Name 5"""
"CMMODIF6","""Modified Reported Name 6"""
"CMMODIF7","""Modified Reported Name 7"""
"CMMODIFY","""Modified Reported Name"""
"CMPNCD","""Standardized Medication Name Code"""
"CMPROPH","""Given for prophylaxis"""
"CMREFID","""Reference ID"""
"CMROUTE","""Route of Administration"""
"CMSEQ","""Sequence Number"""
"CMSPID","""Sponsor-Defined Identifier"""
"CMSTDTC","""Start Date/Time of Medication"""
"CMSTDY","""Study Day of Start of Medication"""
"CMSTRTPT","""Start Relative to Reference Time Point"""
"CMSTTPT","""Start Reference Time Point"""
"CMTIME","""Timeframe of Medication"""
"CMTRT","""Reported Name of Drug, Med, or Therapy"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"SPDEVID","""Sponsor Device Identifier"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"CODTC","""Date/Time of Comment"""
"CODY","""Study Day of Visit/Collection/Exam"""
"COEVAL","""Evaluator"""
"COREF","""Comment Reference"""
"COSEQ","""Sequence Number"""
"COVAL","""Comment"""
"DOMAIN","""Domain Abbreviation"""
"IDVAR","""Identifying Variable"""
"IDVARVAL","""Identifying Variable Value"""
"RDOMAIN","""Related Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DIPARM","""Device Identifier Element Name"""
"DIPARMCD","""Device Identifier Element Short Name"""
"DISEQ","""Sequence Number"""
"DIVAL","""Device Identifier Element Value"""
"DOMAIN","""Domain Abbreviation"""
"SPDEVID","""Sponsor Device Identifier"""
"STUDYID","""Study Identifier"""
"ACTARM","""Description of Actual Arm"""
"ACTARMCD","""Actual Arm Code"""
"AGE","""Age"""
"AGEU","""Age Units"""
"ARM","""Description of Planned Arm"""
"ARMCD","""Planned Arm Code"""
"BRTHDTC","""Date/Time of Birth"""
"COUNTRY","""Country"""
"CRACE1","""Race as Collected 1"""
"CRACE10","""Race as Collected 10"""
"CRACE2","""Race as Collected 2"""
"CRACE3","""Race as Collected 3"""
"CRACE4","""Race as Collected 4"""
"CRACE5","""Race as Collected 5"""
"CRACE6","""Race as Collected 6"""
"CRACE7","""Race as Collected 7"""
"CRACE8","""Race as Collected 8"""
"CRACE9","""Race as Collected 9"""
"DMDTC","""Date/Time of Collection"""
"DMDY","""Study Day of Collection"""
"DOMAIN","""Domain Abbreviation"""
"DTHDTC","""Date/Time of Death"""
"DTHFL","""Subject Death Flag"""
"ETHNIC","""Ethnicity"""
"ETHNIC1","""Ethnicity 1"""
"ETHNIC2","""Ethnicity 2"""
"ETHNIC3","""Ethnicity 3"""
"ETHNIC4","""Ethnicity 4"""
"ETHNIC5","""Ethnicity 5"""
"INVID","""Investigator Identifier"""
"INVNAM","""Investigator Name"""
"RACE","""Race"""
"RACE1","""Race 1"""
"RACE2","""Race 2"""
"RACE3","""Race 3"""
"RACE4","""Race 4"""
"RACE5","""Race 5"""
"RACE6","""Race 6"""
"RFENDTC","""Subject Reference End Date/Time"""
"RFICDTC","""Date/Time of Informed Consent"""
"RFPENDTC","""Date/Time of End of Participation"""
"RFSTDTC","""Subject Reference Start Date/Time"""
"RFXENDTC","""Date/Time of Last Study Treatment"""
"RFXSTDTC","""Date/Time of First Study Treatment"""
"SEX","""Sex"""
"SITEID","""Study Site Identifier"""
"STUDYID","""Study Identifier"""
"SUBJID","""Subject Identifier for the Study"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"DSCAT","""Category for Disposition Event"""
"DSDECOD","""Standardized Disposition Term"""
"DSDTC","""Date/Time of Collection"""
"DSDY","""Study Day of Visit/Collection/Exam"""
"DSPERIOD","""Period Subject Continuing Into"""
"DSREFID","""Reference ID"""
"DSSCAT","""Subcategory for Disposition Event"""
"DSSEQ","""Sequence Number"""
"DSSPID","""Sponsor-Defined Identifier"""
"DSSTDTC","""Start Date/Time of Disposition Event"""
"DSSTDY","""Study Day of Start of Disposition Event"""
"DSTERM","""Reported Term for the Disposition Event"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"DVCAT","""Category for Protocol Deviation"""
"DVDECOD","""Protocol Deviation Coded Term"""
"DVEDREAS","""Emergency Disruption Related Reason"""
"DVEDRELI","""Emergency Disruption Related Indicator"""
"DVEDRETP","""Emergency Disruption Related Type"""
"DVEPRELI","""Epi/Pandemic Related Indicator"""
"DVREAS","""Reason for Deviation"""
"DVREFID","""Reference ID"""
"DVSEQ","""Sequence Number"""
"DVSPID","""Sponsor-Defined Identifier"""
"DVSTDTC","""Start Date/Time of Deviation"""
"DVSTDY","""Study Day of Start of Deviation"""
"DVTERM","""Protocol Deviation Term"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"ECBATCH","""Batch Number"""
"ECDOSDEL","""Reason for Study Drug Dose Delay"""
"ECDOSE","""Dose"""
"ECDOSFRM","""Dose Form"""
"ECDOSFRQ","""Dosing Frequency per Interval"""
"ECDOSU","""Dose Units"""
"ECENDTC","""End Date/Time of Treatment"""
"ECENDY","""Study Day of End of Treatment"""
"ECLAT","""Laterality"""
"ECLNKGRP","""Link Group ID"""
"ECLNKID","""Link ID"""
"ECLOC","""Location of Dose Administration"""
"ECLOT","""Lot Number"""
"ECMOOD","""Mood"""
"ECOCCUR","""Occurrence"""
"ECPRESP","""Pre-Specified"""
"ECPSTRG","""Pharmaceutical Strength"""
"ECPSTRGU","""Pharmaceutical Strength Units"""
"ECREASOC","""Reason for Study Drug Not Administered"""
"ECROUTE","""Route of Administration"""
"ECSEQ","""Sequence Number"""
"ECSPID","""Sponsor-Defined Identifier"""
"ECSTDTC","""Start Date/Time of Treatment"""
"ECSTDY","""Study Day of Start of Treatment"""
"ECTRT","""Name of Treatment"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"EXDOSE","""Dose"""
"EXDOSFRM","""Dose Form"""
"EXDOSFRQ","""Dosing Frequency per Interval"""
"EXDOSU","""Dose Units"""
"EXENDTC","""End Date/Time of Treatment"""
"EXENDY","""Study Day of End of Treatment"""
"EXLAT","""Laterality"""
"EXLNKGRP","""Link Group ID"""
"EXLNKID","""Link ID"""
"EXLOC","""Location of Dose Administration"""
"EXLOT","""Lot Number"""
"EXROUTE","""Route of Administration"""
"EXSEQ","""Sequence Number"""
"EXSPID","""Sponsor-Defined Identifier"""
"EXSTDTC","""Start Date/Time of Treatment"""
"EXSTDY","""Study Day of Start of Treatment"""
"EXTRT","""Name of Treatment"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"FABLFL","""Baseline Flag"""
"FACAT","""Category for Findings About"""
"FADTC","""Date/Time of Collection"""
"FADY","""Study Day of Collection"""
"FAECADJ","""Reason for Dose Modification"""
"FAENDTC","""End Date/Time of Observation"""
"FAENDY","""Study Day of End of Observation"""
"FAGRPID","""Group ID"""
"FALNKID","""Link ID"""
"FAOBJ","""Object of the Observation"""
"FAORRES","""Result or Finding in Original Units"""
"FAORRESU","""Original Units"""
"FAREFID","""Reference ID"""
"FASEQ","""Sequence Number"""
"FASPID","""Sponsor-Defined Identifier"""
"FASTDTC","""Start Date/Time of Observation"""
"FASTDY","""Study Day of Start of Observation"""
"FASTRESC","""Character Result/Finding in Std Format"""
"FASTRESN","""Numeric Result/Finding in Standard Units"""
"FASTRESU","""Standard Units"""
"FATEST","""Findings About Test Name"""
"FATESTCD","""Findings About Test Short Name"""
"FATPT","""Planned Time Point Name"""
"FATPTNUM","""Planned Time Point Number"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"HOCAT","""Category for Healthcare Encounter"""
"HODY","""Study Day of Event Collection"""
"HOENDTC","""End Date/Time of Healthcare Encounter"""
"HOENDY","""Study Day of End of Healthcare Encounter"""
"HOGRPID","""Group ID"""
"HOINDC","""Indication"""
"HOOCCUR","""Healthcare Encounter Occurrence"""
"HOPRESP","""Pre-Specified Healthcare Encounter"""
"HOREASND","""Reason Healthcare Encounter Not Done"""
"HOREFID","""Reference ID"""
"HOSEQ","""Sequence Number"""
"HOSPID","""Sponsor-Defined Identifier"""
"HOSTDTC","""Start Date/Time of Healthcare Encounter"""
"HOSTDY","""Study Day of Start of Encounter"""
"HOTERM","""Healthcare Encounter Term"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"LBBLFL","""Baseline Flag"""
"LBCAT","""Category for Lab Test"""
"LBCVNRHI","""Reference Range Upper Limit-US CV Units"""
"LBCVNRLO","""Reference Range Lower Limit-US CV Units"""
"LBCVRESC","""Character Result/Finding in US CV Format"""
"LBCVRESN","""Numeric Result/Finding in US CV Format"""
"LBCVRESU","""US Conventional Units"""
"LBDTC","""Date/Time of Specimen Collection"""
"LBDY","""Study Day of Specimen Collection"""
"LBELTM","""Planned Elapsed Time from Time Point Ref"""
"LBFAST","""Fasting Status"""
"LBLLOQ","""Lower Limit of Quantification"""
"LBMETHOD","""Method of Test or Examination"""
"LBNAM","""Vendor Name"""
"LBNRIND","""Reference Range Indicator"""
"LBORLLOQ","""Original Lower Limit of Quantitation"""
"LBORNRHI","""Reference Range Upper Limit in Orig Unit"""
"LBORNRLO","""Reference Range Lower Limit in Orig Unit"""
"LBORRES","""Result or Finding in Original Units"""
"LBORRESU","""Original Units"""
"LBREASND","""Reason Test Not Done"""
"LBREFID","""Specimen ID"""
"LBRFTDTC","""Date/Time of Reference Time Point"""
"LBSEQ","""Sequence Number"""
"LBSMPLID","""Alternate Sample Identifier"""
"LBSPCCND","""Specimen Condition"""
