FOLDER,DOMAIN,VARIABLE,LABEL
BP43792S,SU,SUSTDY,Study Day of Start of Substance Use
BP43792S,SU,SUSTRF,Start Relative to Reference Period
BP43792S,SU,SUSTRTPT,Start Relative to Reference Time Point
BP43792S,SU,SUSTTPT,Start Reference Time Point
BP43792S,SU,SUTRT,Reported Name of Substance
BP43792S,SU,USUBJID,Unique Subject Identifier
BP43792S,SU,VISIT,Visit Name
BP43792S,SU,VISITDY,Planned Study Day of Visit
BP43792S,SU,VISITNUM,Visit Number
BP43792S,SV,DOMAIN,Domain Abbreviation
BP43792S,SV,EPOCH,Epoch
BP43792S,SV,STUDYID,Study Identifier
BP43792S,SV,SVENDTC,End Date/Time of Visit
BP43792S,SV,SVENDY,Study Day of End of Visit
BP43792S,SV,SVSTDTC,Start Date/Time of Visit
BP43792S,SV,SVSTDY,Study Day of Start of Visit
BP43792S,SV,SVUPDES,Description of Unplanned Visit
BP43792S,SV,USUBJID,Unique Subject Identifier
BP43792S,SV,VISIT,Visit Name
BP43792S,SV,VISITDY,Planned Study Day of Visit
BP43792S,SV,VISITNUM,Visit Number
BP43792S,TS,DOMAIN,Domain Abbreviation
BP43792S,TS,STUDYID,Study Identifier
BP43792S,TS,TSGRPID,Group ID
BP43792S,TS,TSPARM,Trial Summary Parameter
BP43792S,TS,TSPARMCD,Trial Summary Parameter Short Name
BP43792S,TS,TSSEQ,Sequence Number
BP43792S,TS,TSVAL,Parameter Value
BP43792S,TS,TSVALCD,Parameter Value Code
BP43792S,TS,TSVALNF,Parameter Null Flavor
BP43792S,TS,TSVCDREF,Name of the Reference Terminology
BP43792S,TS,TSVCDVER,Version of the Reference Terminology
BP43792S,TV,ARM,Description of Planned Arm
BP43792S,TV,ARMCD,Planned Arm Code
BP43792S,TV,DOMAIN,Domain Abbreviation
BP43792S,TV,STUDYID,Study Identifier
BP43792S,TV,TVENRL,Visit End Rule
BP43792S,TV,TVSTRL,Visit Start Rule
BP43792S,TV,VISIT,Visit Name
BP43792S,TV,VISITCD,Visit Code
BP43792S,TV,VISITDY,Planned Study Day of Visit
BP43792S,TV,VISITNUM,Visit Number
BP43792S,VS,DOMAIN,Domain Abbreviation
BP43792S,VS,EPOCH,Epoch
BP43792S,VS,STUDYID,Study Identifier
BP43792S,VS,USUBJID,Unique Subject Identifier
BP43792S,VS,VISIT,Visit Name
BP43792S,VS,VISITDY,Planned Study Day of Visit
BP43792S,VS,VISITNUM,Visit Number
BP43792S,VS,VSBLFL,Baseline Flag
BP43792S,VS,VSCAT,Category for Vital Signs
BP43792S,VS,VSDTC,Date/Time of Measurements
BP43792S,VS,VSDY,Study Day of Vital Signs
BP43792S,VS,VSELTM,Planned Elapsed Time from Time Point Ref
BP43792S,VS,VSLOC,Location of Vital Signs Measurement
BP43792S,VS,VSMETHOD,Method of Test or Examination
BP43792S,VS,VSORRES,Result or Finding in Original Units
BP43792S,VS,VSORRESU,Original Units
BP43792S,VS,VSPOS,Vital Signs Position of Subject
BP43792S,VS,VSREASND,Reason Not Performed
BP43792S,VS,VSRFTDTC,Date/Time of Reference Time Point
BP43792S,VS,VSSCAT,Subcategory for Vital Signs
BP43792S,VS,VSSEQ,Sequence Number
BP43792S,VS,VSSPID,Sponsor-Defined Identifier
BP43792S,VS,VSSTAT,Completion Status
BP43792S,VS,VSSTRESC,Character Result/Finding in Std Format
BP43792S,VS,VSSTRESN,Numeric Result/Finding in Standard Units
BP43792S,VS,VSSTRESU,Standard Units
BP43792S,VS,VSTEST,Vital Signs Test Name
BP43792S,VS,VSTESTCD,Vital Signs Test Short Name
BP43792S,VS,VSTPT,Planned Time Point Name
BP43792S,VS,VSTPTNUM,Planned Time Point Number
BP43792S,VS,VSTPTREF,Time Point Reference
BP43792S,YI,DOMAIN,Domain Abbreviation
BP43792S,YI,EPOCH,Epoch
BP43792S,YI,STUDYID,Study Identifier
BP43792S,YI,USUBJID,Unique Subject Identifier
BP43792S,YI,YICAT,Category
BP43792S,YI,YICNTRY,Center Country
BP43792S,YI,YICRTN,Clinical Research Task Number
BP43792S,YI,YICSTATE,Center State
BP43792S,YI,YICTCITY,Center City
BP43792S,YI,YICTCNAM,Center Name
BP43792S,YI,YICTCNM1,Center Name 1
BP43792S,YI,YICTCNM2,Center Name 2
BP43792S,YI,YICTCNM3,Center Name 3
BP43792S,YI,YICTCNUM,Center Number
BP43792S,YI,YICTINAM,Center Investigator Name
BP43792S,YI,YICTINUM,Center Investigator Number
BP43792S,YI,YICTZIP,Center Postal Zip Code
BP43792S,YI,YIENDTC,End Date/Time of Inv Assignment
BP43792S,YI,YIENDY,Study Day of End of Inv Assignment
BP43792S,YI,YIGRPID,Group ID
BP43792S,YI,YIIADDR1,Investigator Address Line 1
BP43792S,YI,YIIADDR2,Investigator Address Line 2
BP43792S,YI,YIIADDR3,Investigator Address Line 3
BP43792S,YI,YIICITY,Investigator City
BP43792S,YI,YIICNTRY,Investigator Country
BP43792S,YI,YIIEMAIL,Investigator Email ID
BP43792S,YI,YIIFAX,Investigator Fax Number
BP43792S,YI,YIIMNAM,Investigator Middle Name
BP43792S,YI,YIINUM,Investigator Contact Number
BP43792S,YI,YIINUMTP,Investigator Contact Type
BP43792S,YI,YIINVID,Investigator Identifier
BP43792S,YI,YIINVZIP,Investigator Postal Zip Code
BP43792S,YI,YIISTATE,Investigator State
BP43792S,YI,YISCAT,Subcategory
BP43792S,YI,YISEQ,Sequence Number
BP43792S,YI,YISITEID,Site Identifier
BP43792S,YI,YISPID,Sponsor-Defined Identifier
BP43792S,YI,YISTDTC,Start Date/Time of Inv Assignment
BP43792S,YI,YISTDY,Study Day of Start of Inv Assignment
BP43792S,YI,YITERM,Reported Term for Event
BP43949S,AE,AEACN,Action Taken with Study Treatment
BP43949S,AE,AEACNOT1,Other Action Taken 1
BP43949S,AE,AEACNOT2,Other Action Taken 2
BP43949S,AE,AEACNOTH,Other Action Taken
BP43949S,AE,AEASOD,Accidental Overdose?
BP43949S,AE,AEBDSYCD,Body System or Organ Class Code
BP43949S,AE,AEBODSYS,Body System or Organ Class
BP43949S,AE,AECAT,Category for Adverse Event
BP43949S,AE,AECONCST,Corticosteroid Medications Given for AE
BP43949S,AE,AECONTRT,Concomitant or Additional Trtmnt Given
BP43949S,AE,AEDECOD,Dictionary-Derived Term
BP43949S,AE,AEDLEYN,Dose Limiting Adverse Event?
BP43949S,AE,AEDTHDTC,Death Date
BP43949S,AE,AEENDTC,End Date/Time of Adverse Event
BP43949S,AE,AEENDY,Study Day of End of Adverse Event
BP43949S,AE,AEENRTPT,End Relative to Reference Time Point
BP43949S,AE,AEENTPT,End Reference Time Point
BP43949S,AE,AEEXP,Expedited Adverse Event
BP43949S,AE,AEGRPID,Group ID
BP43949S,AE,AEHLGT,High Level Group Term
BP43949S,AE,AEHLGTCD,High Level Group Term Code
BP43949S,AE,AEHLT,High Level Term
BP43949S,AE,AEHLTCD,High Level Term Code
BP43949S,AE,AEITOXGR,Initial Toxicity Grade
BP43949S,AE,AELLT,Lowest Level Term
BP43949S,AE,AELLTCD,Lowest Level Term Code
BP43949S,AE,AEMEDERR,Medication Error?
BP43949S,AE,AEMODIFY,Modified Reported Term
BP43949S,AE,AEOCCRF,Event Occurrence Reference Time Point
BP43949S,AE,AEOUT,Outcome of Adverse Event
BP43949S,AE,AEPATT,Pattern of Adverse Event
BP43949S,AE,AEPTCD,Preferred Term Code
BP43949S,AE,AEREFID,Reference ID
BP43949S,AE,AEREL,Causality
BP43949S,AE,AERELNS1,Relationship to Non-Study Treatment 1
BP43949S,AE,AERELNS2,Relationship to Non-Study Treatment 2
BP43949S,AE,AERELNS3,Relationship to Non-Study Treatment 3
BP43949S,AE,AERELNS4,Relationship to Non-Study Treatment 4
BP43949S,AE,AERELNS5,Relationship to Non-Study Treatment 5
BP43949S,AE,AERELNS6,Relationship to Non-Study Treatment 6
BP43949S,AE,AERELNST,Relationship to Non-Study Treatment
BP43949S,AE,AESCAT,Subcategory for Adverse Event
BP43949S,AE,AESDTH,Results in Death
BP43949S,AE,AESEQ,Sequence Number
BP43949S,AE,AESER,Serious Event
BP43949S,AE,AESOC,Primary System Organ Class
BP43949S,AE,AESOCCD,Primary System Organ Class Code
BP43949S,AE,AESPID,Sponsor-Defined Identifier
BP43949S,AE,AESTDTC,Start Date/Time of Adverse Event
BP43949S,AE,AESTDY,Study Day of Start of Adverse Event
BP43949S,AE,AESTRTPT,Start Relative to Reference Time Point
BP43949S,AE,AESTTPT,Start Reference Time Point
BP43949S,AE,AETERM,Reported Term for the Adverse Event
BP43949S,AE,AETOXGR,Standard Toxicity Grade
BP43949S,AE,AETRTEM,Treatment Emergent Flag
BP43949S,AE,DOMAIN,Domain Abbreviation
BP43949S,AE,EPOCH,Epoch
BP43949S,AE,STUDYID,Study Identifier
BP43949S,AE,USUBJID,Unique Subject Identifier
BP43949S,BE,BECAT,Category for Biospecimen Event
BP43949S,BE,BEDECOD,Dictionary-Derived Term
BP43949S,BE,BEDTC,Date/Time of Specimen Collection
BP43949S,BE,BEDY,Study Day of Visit/Collection/Exam
BP43949S,BE,BEENDTC,End Date/Time of Biospecimen Event
BP43949S,BE,BEENDY,Study Day of End of Biospecimen Event
BP43949S,BE,BEOCCUR,Occurrence
BP43949S,BE,BEPRESP,Pre-specified
BP43949S,BE,BEREFID,Reference ID
BP43949S,BE,BESCAT,Subcategory for Biospecimen Event
BP43949S,BE,BESEQ,Sequence Number
BP43949S,BE,BESPID,Sponsor-Defined Identifier
BP43949S,BE,BESPPURP,Specimen Intended Purpose
BP43949S,BE,BESTDTC,Start Date/Time of Biospecimen Event
BP43949S,BE,BESTDY,Study Day of Start of Biospecimen Event
BP43949S,BE,BETERM,Reported Term for the Biospecimen Event
BP43949S,BE,BETPT,Planned Time Point Name
BP43949S,BE,BETPTNUM,Planned Time Point Number
BP43949S,BE,DOMAIN,Domain Abbreviation
BP43949S,BE,EPOCH,Epoch
BP43949S,BE,STUDYID,Study Identifier
BP43949S,BE,USUBJID,Unique Subject Identifier
BP43949S,BE,VISIT,Visit Name
BP43949S,BE,VISITDY,Planned Study Day of Visit
BP43949S,BE,VISITNUM,Visit Number
BP43949S,BS,BSBLFL,Baseline Flag
BP43949S,BS,BSCAT,Category for Biospecimen Test
BP43949S,BS,BSDTC,Date/Time of Specimen Collection
BP43949S,BS,BSDY,Study Day of Specimen Collection
BP43949S,BS,BSELTM,Planned Elapsed Time from Time Point Ref
BP43949S,BS,BSORRES,Result or Finding in Original Units
BP43949S,BS,BSORRESU,Original Units
BP43949S,BS,BSREFID,Reference ID
BP43949S,BS,BSRFTDTC,Date/Time of Reference Time Point
BP43949S,BS,BSSEQ,Sequence Number
BP43949S,BS,BSSPEC,Specimen Type
BP43949S,BS,BSSPID,Sponsor-Defined Identifier
BP43949S,BS,BSSTRESC,Character Result/Finding in Std Format
BP43949S,BS,BSSTRESN,Numeric Result/Finding in Standard Units
BP43949S,BS,BSSTRESU,Standard Units
BP43949S,BS,BSTEST,Biospecimen Test Name
BP43949S,BS,BSTESTCD,Biospecimen Test Short Name
BP43949S,BS,BSTPT,Planned Time Point Name
BP43949S,BS,BSTPTNUM,Planned Time Point Number
BP43949S,BS,BSTPTREF,Time Point Reference
BP43949S,BS,DOMAIN,Domain Abbreviation
BP43949S,BS,EPOCH,Epoch
BP43949S,BS,STUDYID,Study Identifier
BP43949S,BS,USUBJID,Unique Subject Identifier
BP43949S,BS,VISIT,Visit Name
BP43949S,BS,VISITDY,Planned Study Day of Visit
BP43949S,BS,VISITNUM,Visit Number
BP43949S,CE,CEBDSYCD,Body System or Organ Class Code
BP43949S,CE,CEBODSYS,Body System or Organ Class
BP43949S,CE,CECAT,Category for Clinical Event
BP43949S,CE,CEDECOD,Dictionary-Derived Term
BP43949S,CE,CEDTC,Date/Time of Event Collection
BP43949S,CE,CEDY,Study Day of Event Collection
BP43949S,CE,CEENDTC,End Date/Time of Clinical Event
BP43949S,CE,CEENDY,Study Day of End of Observation
BP43949S,CE,CEEVDTYP,Event Date Type
BP43949S,CE,CEGRPID,Group ID
BP43949S,CE,CEHLGT,High Level Group Term
BP43949S,CE,CEHLGTCD,High Level Group Term Code
BP43949S,CE,CEHLT,High Level Term
BP43949S,CE,CEHLTCD,High Level Term Code
BP43949S,CE,CEITOXGR,Initial Toxicity Grade
BP43949S,CE,CELLT,Lowest Level Term
BP43949S,CE,CELLTCD,Lowest Level Term Code
BP43949S,CE,CEMODIFY,Modified Reported Term
BP43949S,CE,CEOCCUR,Clinical Event Occurrence
BP43949S,CE,CEPRESP,Clinical Event Pre-Specified
BP43949S,CE,CEPTCD,Preferred Term Code
BP43949S,CE,CEREFID,Reference ID
BP43949S,CE,CESEQ,Sequence Number
BP43949S,CE,CESER,Serious Event
BP43949S,CE,CESOC,Primary System Organ Class
BP43949S,CE,CESOCCD,Primary System Organ Class Code
BP43949S,CE,CESPID,Sponsor-Defined Identifier
BP43949S,CE,CESTDTC,Start Date/Time of Clinical Event
BP43949S,CE,CESTDY,Study Day of Start of Observation
BP43949S,CE,CETERM,Reported Term for the Clinical Event
BP43949S,CE,CETOXGR,Toxicity Grade
BP43949S,CE,DOMAIN,Domain Abbreviation
BP43949S,CE,EPOCH,Epoch
BP43949S,CE,STUDYID,Study Identifier
BP43949S,CE,USUBJID,Unique Subject Identifier
BP43949S,CE,VISIT,Visit Name
BP43949S,CE,VISITDY,Planned Study Day of Visit
BP43949S,CE,VISITNUM,Visit Number
BP43949S,CM,CMCAT,Category for Medication
BP43949S,CM,CMDECOD,Standardized Medication Name
BP43949S,CM,CMDECOD1,Standardized Medication Name 1
BP43949S,CM,CMDECOD2,Standardized Medication Name 2
BP43949S,CM,CMDECOD3,Standardized Medication Name 3
BP43949S,CM,CMDECOD4,Standardized Medication Name 4
BP43949S,CM,CMDECOD5,Standardized Medication Name 5
BP43949S,CM,CMDECOD6,Standardized Medication Name 6
BP43949S,CM,CMDECOD7,Standardized Medication Name 7
BP43949S,CM,CMDOSE,Dose per Administration
BP43949S,CM,CMDOSFRM,Dose Form
BP43949S,CM,CMDOSFRQ,Dosing Frequency per Interval
BP43949S,CM,CMDOSTXT,Dose Description
BP43949S,CM,CMDOSU,Dose Units
BP43949S,CM,CMDRG,Synonym Medication Name
BP43949S,CM,CMDRG1,Synonym Medication Name 1
BP43949S,CM,CMDRG2,Synonym Medication Name 2
BP43949S,CM,CMDRG3,Synonym Medication Name 3
BP43949S,CM,CMDRG4,Synonym Medication Name 4
BP43949S,CM,CMDRG5,Synonym Medication Name 5
BP43949S,CM,CMDRG6,Synonym Medication Name 6
BP43949S,CM,CMDRG7,Synonym Medication Name 7
BP43949S,CM,CMDRGCD,Synonym Medication Name Code
BP43949S,CM,CMENDTC,End Date/Time of Medication
BP43949S,CM,CMENDY,Study Day of End of Medication
BP43949S,CM,CMENRTPT,End Relative to Reference Time Point
BP43949S,CM,CMENTPT,End Reference Time Point
BP43949S,CM,CMGRPID,Group ID
BP43949S,CM,CMINDC,Indication
BP43949S,CM,CMMODIF1,Modified Reported Name 1
BP43949S,CM,CMMODIF2,Modified Reported Name 2
BP43949S,CM,CMMODIF3,Modified Reported Name 3
BP43949S,CM,CMMODIF4,Modified Reported Name 4
BP43949S,CM,CMMODIF5,Modified Reported Name 5
BP43949S,CM,CMMODIF6,Modified Reported Name 6
BP43949S,CM,CMMODIF7,Modified Reported Name 7
BP43949S,CM,CMMODIFY,Modified Reported Name
BP43949S,CM,CMPNCD,Standardized Medication Name Code
BP43949S,CM,CMPROPH,Given for prophylaxis
BP43949S,CM,CMREFID,Reference ID
BP43949S,CM,CMROUTE,Route of Administration
BP43949S,CM,CMSEQ,Sequence Number
BP43949S,CM,CMSPID,Sponsor-Defined Identifier
BP43949S,CM,CMSTDTC,Start Date/Time of Medication
BP43949S,CM,CMSTDY,Study Day of Start of Medication
BP43949S,CM,CMSTRTPT,Start Relative to Reference Time Point
BP43949S,CM,CMSTTPT,Start Reference Time Point
BP43949S,CM,CMTIME,Timeframe of Medication
BP43949S,CM,CMTRT,"Reported Name of Drug, Med, or Therapy"
BP43949S,CM,DOMAIN,Domain Abbreviation
BP43949S,CM,EPOCH,Epoch
BP43949S,CM,SPDEVID,Sponsor Device Identifier
BP43949S,CM,STUDYID,Study Identifier
BP43949S,CM,USUBJID,Unique Subject Identifier
BP43949S,CO,CODTC,Date/Time of Comment
BP43949S,CO,CODY,Study Day of Visit/Collection/Exam
BP43949S,CO,COEVAL,Evaluator
BP43949S,CO,COREF,Comment Reference
BP43949S,CO,COSEQ,Sequence Number
BP43949S,CO,COVAL,Comment
BP43949S,CO,DOMAIN,Domain Abbreviation
BP43949S,CO,IDVAR,Identifying Variable
BP43949S,CO,IDVARVAL,Identifying Variable Value
BP43949S,CO,RDOMAIN,Related Domain Abbreviation
BP43949S,CO,STUDYID,Study Identifier
BP43949S,CO,USUBJID,Unique Subject Identifier
BP43949S,DI,DIPARM,Device Identifier Element Name
BP43949S,DI,DIPARMCD,Device Identifier Element Short Name
BP43949S,DI,DISEQ,Sequence Number
BP43949S,DI,DIVAL,Device Identifier Element Value
BP43949S,DI,DOMAIN,Domain Abbreviation
BP43949S,DI,SPDEVID,Sponsor Device Identifier
BP43949S,DI,STUDYID,Study Identifier
BP43949S,DM,ACTARM,Description of Actual Arm
BP43949S,DM,ACTARMCD,Actual Arm Code
BP43949S,DM,AGE,Age
BP43949S,DM,AGEU,Age Units
BP43949S,DM,ARM,Description of Planned Arm
BP43949S,DM,ARMCD,Planned Arm Code
BP43949S,DM,BRTHDTC,Date/Time of Birth
BP43949S,DM,COUNTRY,Country
BP43949S,DM,CRACE1,Race as Collected 1
BP43949S,DM,CRACE10,Race as Collected 10
BP43949S,DM,CRACE2,Race as Collected 2
BP43949S,DM,CRACE3,Race as Collected 3
BP43949S,DM,CRACE4,Race as Collected 4
BP43949S,DM,CRACE5,Race as Collected 5
BP43949S,DM,CRACE6,Race as Collected 6
BP43949S,DM,CRACE7,Race as Collected 7
BP43949S,DM,CRACE8,Race as Collected 8
BP43949S,DM,CRACE9,Race as Collected 9
BP43949S,DM,DMDTC,Date/Time of Collection
BP43949S,DM,DMDY,Study Day of Collection
BP43949S,DM,DOMAIN,Domain Abbreviation
BP43949S,DM,DTHDTC,Date/Time of Death
BP43949S,DM,DTHFL,Subject Death Flag
BP43949S,DM,ETHNIC,Ethnicity
BP43949S,DM,ETHNIC1,Ethnicity 1
BP43949S,DM,ETHNIC2,Ethnicity 2
BP43949S,DM,ETHNIC3,Ethnicity 3
BP43949S,DM,ETHNIC4,Ethnicity 4
BP43949S,DM,ETHNIC5,Ethnicity 5
BP43949S,DM,INVID,Investigator Identifier
BP43949S,DM,INVNAM,Investigator Name
BP43949S,DM,RACE,Race
BP43949S,DM,RACE1,Race 1
BP43949S,DM,RACE2,Race 2
BP43949S,DM,RACE3,Race 3
BP43949S,DM,RACE4,Race 4
BP43949S,DM,RACE5,Race 5
BP43949S,DM,RACE6,Race 6
BP43949S,DM,RFENDTC,Subject Reference End Date/Time
BP43949S,DM,RFICDTC,Date/Time of Informed Consent
BP43949S,DM,RFPENDTC,Date/Time of End of Participation
BP43949S,DM,RFSTDTC,Subject Reference Start Date/Time
BP43949S,DM,RFXENDTC,Date/Time of Last Study Treatment
BP43949S,DM,RFXSTDTC,Date/Time of First Study Treatment
BP43949S,DM,SEX,Sex
BP43949S,DM,SITEID,Study Site Identifier
BP43949S,DM,STUDYID,Study Identifier
BP43949S,DM,SUBJID,Subject Identifier for the Study
BP43949S,DM,USUBJID,Unique Subject Identifier
BP43949S,DS,DOMAIN,Domain Abbreviation
BP43949S,DS,DSCAT,Category for Disposition Event
BP43949S,DS,DSDECOD,Standardized Disposition Term
BP43949S,DS,DSDTC,Date/Time of Collection
BP43949S,DS,DSDY,Study Day of Visit/Collection/Exam
BP43949S,DS,DSPERIOD,Period Subject Continuing Into
BP43949S,DS,DSREFID,Reference ID
BP43949S,DS,DSSCAT,Subcategory for Disposition Event
BP43949S,DS,DSSEQ,Sequence Number
BP43949S,DS,DSSPID,Sponsor-Defined Identifier
BP43949S,DS,DSSTDTC,Start Date/Time of Disposition Event
BP43949S,DS,DSSTDY,Study Day of Start of Disposition Event
BP43949S,DS,DSTERM,Reported Term for the Disposition Event
BP43949S,DS,EPOCH,Epoch
BP43949S,DS,STUDYID,Study Identifier
BP43949S,DS,USUBJID,Unique Subject Identifier
BP43949S,DV,DOMAIN,Domain Abbreviation
BP43949S,DV,DVCAT,Category for Protocol Deviation
BP43949S,DV,DVDECOD,Protocol Deviation Coded Term
BP43949S,DV,DVEDREAS,Emergency Disruption Related Reason
BP43949S,DV,DVEDRELI,Emergency Disruption Related Indicator
BP43949S,DV,DVEDRETP,Emergency Disruption Related Type
BP43949S,DV,DVEPRELI,Epi/Pandemic Related Indicator
BP43949S,DV,DVREAS,Reason for Deviation
BP43949S,DV,DVREFID,Reference ID
BP43949S,DV,DVSEQ,Sequence Number
BP43949S,DV,DVSPID,Sponsor-Defined Identifier
BP43949S,DV,DVSTDTC,Start Date/Time of Deviation
BP43949S,DV,DVSTDY,Study Day of Start of Deviation
BP43949S,DV,DVTERM,Protocol Deviation Term
BP43949S,DV,EPOCH,Epoch
BP43949S,DV,STUDYID,Study Identifier
BP43949S,DV,USUBJID,Unique Subject Identifier
BP43949S,EC,DOMAIN,Domain Abbreviation
BP43949S,EC,ECBATCH,Batch Number
BP43949S,EC,ECDOSDEL,Reason for Study Drug Dose Delay
BP43949S,EC,ECDOSE,Dose
BP43949S,EC,ECDOSFRM,Dose Form
BP43949S,EC,ECDOSFRQ,Dosing Frequency per Interval
BP43949S,EC,ECDOSU,Dose Units
BP43949S,EC,ECENDTC,End Date/Time of Treatment
BP43949S,EC,ECENDY,Study Day of End of Treatment
BP43949S,EC,ECLAT,Laterality
BP43949S,EC,ECLNKGRP,Link Group ID
BP43949S,EC,ECLNKID,Link ID
BP43949S,EC,ECLOC,Location of Dose Administration
BP43949S,EC,ECLOT,Lot Number
BP43949S,EC,ECMOOD,Mood
BP43949S,EC,ECOCCUR,Occurrence
BP43949S,EC,ECPRESP,Pre-Specified
BP43949S,EC,ECPSTRG,Pharmaceutical Strength
BP43949S,EC,ECPSTRGU,Pharmaceutical Strength Units
BP43949S,EC,ECREASOC,Reason for Study Drug Not Administered
BP43949S,EC,ECROUTE,Route of Administration
BP43949S,EC,ECSEQ,Sequence Number
BP43949S,EC,ECSPID,Sponsor-Defined Identifier
BP43949S,EC,ECSTDTC,Start Date/Time of Treatment
BP43949S,EC,ECSTDY,Study Day of Start of Treatment
BP43949S,EC,ECTRT,Name of Treatment
BP43949S,EC,EPOCH,Epoch
BP43949S,EC,STUDYID,Study Identifier
BP43949S,EC,USUBJID,Unique Subject Identifier
BP43949S,EC,VISIT,Visit Name
BP43949S,EC,VISITDY,Planned Study Day of Visit
BP43949S,EC,VISITNUM,Visit Number
BP43949S,EX,DOMAIN,Domain Abbreviation
BP43949S,EX,EPOCH,Epoch
BP43949S,EX,EXDOSE,Dose
BP43949S,EX,EXDOSFRM,Dose Form
BP43949S,EX,EXDOSFRQ,Dosing Frequency per Interval
BP43949S,EX,EXDOSU,Dose Units
BP43949S,EX,EXENDTC,End Date/Time of Treatment
BP43949S,EX,EXENDY,Study Day of End of Treatment
BP43949S,EX,EXLAT,Laterality
BP43949S,EX,EXLNKGRP,Link Group ID
BP43949S,EX,EXLNKID,Link ID
BP43949S,EX,EXLOC,Location of Dose Administration
BP43949S,EX,EXLOT,Lot Number
BP43949S,EX,EXROUTE,Route of Administration
BP43949S,EX,EXSEQ,Sequence Number
BP43949S,EX,EXSPID,Sponsor-Defined Identifier
BP43949S,EX,EXSTDTC,Start Date/Time of Treatment
BP43949S,EX,EXSTDY,Study Day of Start of Treatment
BP43949S,EX,EXTRT,Name of Treatment
BP43949S,EX,STUDYID,Study Identifier
BP43949S,EX,USUBJID,Unique Subject Identifier
BP43949S,EX,VISIT,Visit Name
BP43949S,EX,VISITDY,Planned Study Day of Visit
BP43949S,EX,VISITNUM,Visit Number
BP43949S,FA,DOMAIN,Domain Abbreviation
BP43949S,FA,EPOCH,Epoch
BP43949S,FA,FABLFL,Baseline Flag
BP43949S,FA,FACAT,Category for Findings About
BP43949S,FA,FADTC,Date/Time of Collection
BP43949S,FA,FADY,Study Day of Collection
BP43949S,FA,FAECADJ,Reason for Dose Modification
BP43949S,FA,FAENDTC,End Date/Time of Observation
BP43949S,FA,FAENDY,Study Day of End of Observation
BP43949S,FA,FAGRPID,Group ID
BP43949S,FA,FALNKID,Link ID
BP43949S,FA,FAOBJ,Object of the Observation
BP43949S,FA,FAORRES,Result or Finding in Original Units
BP43949S,FA,FAORRESU,Original Units
BP43949S,FA,FAREFID,Reference ID
BP43949S,FA,FASEQ,Sequence Number
BP43949S,FA,FASPID,Sponsor-Defined Identifier
BP43949S,FA,FASTDTC,Start Date/Time of Observation
BP43949S,FA,FASTDY,Study Day of Start of Observation
BP43949S,FA,FASTRESC,Character Result/Finding in Std Format
BP43949S,FA,FASTRESN,Numeric Result/Finding in Standard Units
BP43949S,FA,FASTRESU,Standard Units
BP43949S,FA,FATEST,Findings About Test Name
BP43949S,FA,FATESTCD,Findings About Test Short Name
BP43949S,FA,FATPT,Planned Time Point Name
BP43949S,FA,FATPTNUM,Planned Time Point Number
BP43949S,FA,STUDYID,Study Identifier
BP43949S,FA,USUBJID,Unique Subject Identifier
BP43949S,FA,VISIT,Visit Name
BP43949S,FA,VISITDY,Planned Study Day of Visit
BP43949S,FA,VISITNUM,Visit Number
BP43949S,HO,DOMAIN,Domain Abbreviation
BP43949S,HO,EPOCH,Epoch
BP43949S,HO,HOCAT,Category for Healthcare Encounter
BP43949S,HO,HODY,Study Day of Event Collection
BP43949S,HO,HOENDTC,End Date/Time of Healthcare Encounter
BP43949S,HO,HOENDY,Study Day of End of Healthcare Encounter
BP43949S,HO,HOGRPID,Group ID
BP43949S,HO,HOINDC,Indication
BP43949S,HO,HOOCCUR,Healthcare Encounter Occurrence
BP43949S,HO,HOPRESP,Pre-Specified Healthcare Encounter
BP43949S,HO,HOREASND,Reason Healthcare Encounter Not Done
BP43949S,HO,HOREFID,Reference ID
BP43949S,HO,HOSEQ,Sequence Number
BP43949S,HO,HOSPID,Sponsor-Defined Identifier
BP43949S,HO,HOSTDTC,Start Date/Time of Healthcare Encounter
BP43949S,HO,HOSTDY,Study Day of Start of Encounter
BP43949S,HO,HOTERM,Healthcare Encounter Term
BP43949S,HO,STUDYID,Study Identifier
BP43949S,HO,USUBJID,Unique Subject Identifier
BP43949S,LB,DOMAIN,Domain Abbreviation
BP43949S,LB,EPOCH,Epoch
BP43949S,LB,LBBLFL,Baseline Flag
BP43949S,LB,LBCAT,Category for Lab Test
BP43949S,LB,LBCVNRHI,Reference Range Upper Limit-US CV Units
BP43949S,LB,LBCVNRLO,Reference Range Lower Limit-US CV Units
BP43949S,LB,LBCVRESC,Character Result/Finding in US CV Format
BP43949S,LB,LBCVRESN,Numeric Result/Finding in US CV Format
BP43949S,LB,LBCVRESU,US Conventional Units
BP43949S,LB,LBDTC,Date/Time of Specimen Collection
BP43949S,LB,LBDY,Study Day of Specimen Collection
BP43949S,LB,LBELTM,Planned Elapsed Time from Time Point Ref
BP43949S,LB,LBFAST,Fasting Status
BP43949S,LB,LBLLOQ,Lower Limit of Quantification
BP43949S,LB,LBMETHOD,Method of Test or Examination
BP43949S,LB,LBNAM,Vendor Name
BP43949S,LB,LBNRIND,Reference Range Indicator
BP43949S,LB,LBORLLOQ,Original Lower Limit of Quantitation
BP43949S,LB,LBORNRHI,Reference Range Upper Limit in Orig Unit
BP43949S,LB,LBORNRLO,Reference Range Lower Limit in Orig Unit
